area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 2, Census Tract 315.02",776,80,0,0,0,0,31,0,0,0,0,40,0,29,0,0,55,0,15,174,56,157,125,14,0
"Block Group 3, Census Tract 315.02",1454,99,0,0,0,0,30,0,0,0,0,0,0,0,0,15,415,43,93,253,83,332,56,35,0
"Block Group 1, Census Tract 317",2132,33,0,0,0,0,0,0,0,0,62,0,0,0,0,180,187,0,16,201,125,802,498,22,6
"Block Group 2, Census Tract 317",1210,10,0,0,0,0,0,0,0,0,0,21,0,19,9,8,80,0,32,100,23,556,260,53,39
"Block Group 3, Census Tract 317",1221,0,0,0,0,0,0,0,0,0,0,0,6,7,7,19,65,18,66,174,30,482,275,26,46
"Block Group 4, Census Tract 317",915,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,65,2,57,208,5,313,148,60,19
"Block Group 1, Census Tract 318",1527,0,0,0,0,0,0,7,0,6,0,0,0,14,24,0,88,10,46,101,70,615,382,100,64
"Block Group 1, Census Tract 319",934,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,43,10,9,46,17,521,146,48,40
"Block Group 2, Census Tract 319",1031,20,0,0,0,0,0,0,0,0,0,0,30,0,0,0,29,10,27,166,17,499,154,72,7
"Block Group 1, Census Tract 321",1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,77,0,26,123,49,456,221,18,34
"Block Group 2, Census Tract 321",608,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,8,77,23,319,163,0,0
"Block Group 3, Census Tract 321",1262,0,0,0,0,0,0,0,0,0,2,0,3,5,0,21,193,0,41,215,151,468,149,14,0
"Block Group 4, Census Tract 321",1717,209,0,0,0,0,0,0,0,0,0,0,0,0,0,238,356,50,227,65,69,303,179,21,0
"Block Group 5, Census Tract 321",1140,33,0,0,0,0,0,0,0,0,0,0,4,12,16,0,139,0,0,199,124,310,286,17,0
"Block Group 1, Census Tract 401",1029,13,0,0,0,0,7,0,0,0,1,0,0,27,7,0,147,0,84,77,57,313,267,18,11
"Block Group 2, Census Tract 401",1310,0,0,0,0,0,0,0,0,0,0,72,0,0,30,25,124,16,19,171,46,466,266,75,0
"Block Group 3, Census Tract 401",641,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,14,26,35,53,55,196,143,27,69
"Block Group 1, Census Tract 402.01",1269,16,0,0,0,0,0,0,0,41,0,0,0,0,0,27,32,52,53,50,118,690,73,117,0
"Block Group 2, Census Tract 402.01",1277,33,0,0,0,0,0,0,0,0,0,14,0,52,1,88,239,52,50,122,18,333,240,35,0
"Block Group 3, Census Tract 402.01",1115,27,0,0,0,0,0,0,0,0,0,24,0,16,0,0,70,0,29,251,27,319,283,41,28
"Block Group 4, Census Tract 402.01",1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,176,45,78,140,71,874,339,26,15
"Block Group 1, Census Tract 402.02",491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,101,0,0,34,17,300,0,25,0
"Block Group 2, Census Tract 402.02",1754,87,0,0,0,0,0,16,0,0,0,32,0,13,12,88,461,0,12,280,144,311,234,64,0
"Block Group 3, Census Tract 402.02",1129,13,0,0,0,0,0,0,0,0,0,8,36,0,0,66,248,0,87,224,99,299,49,0,0
"Block Group 4, Census Tract 402.02",1712,28,0,0,0,0,39,0,0,146,0,27,14,0,25,0,260,39,15,99,33,771,118,89,9
"Block Group 1, Census Tract 403",624,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,73,7,7,54,24,225,130,34,66
"Block Group 2, Census Tract 403",874,55,0,0,0,0,0,0,0,0,0,15,0,0,29,40,188,0,0,97,54,151,158,87,0
"Block Group 3, Census Tract 403",515,2,0,0,0,0,0,0,0,9,0,0,0,14,12,35,16,3,0,40,61,207,93,23,0
"Block Group 1, Census Tract 404.01",838,8,0,0,0,0,0,0,0,0,0,0,0,8,0,53,106,11,8,75,10,246,304,0,9
"Block Group 2, Census Tract 404.01",526,27,0,0,0,0,0,7,0,5,0,0,0,0,0,0,31,8,0,15,16,276,92,9,40
"Block Group 3, Census Tract 404.01",558,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,21,34,8,91,8,276,92,12,0
"Block Group 4, Census Tract 404.01",810,0,0,0,0,0,0,0,0,0,0,0,0,87,0,22,60,18,10,106,8,229,206,56,8
"Block Group 1, Census Tract 404.02",348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,268,48,0,0
"Block Group 2, Census Tract 404.02",595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,15,64,0,388,58,37,0
"Block Group 3, Census Tract 404.02",963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,121,0,480,242,32,15
"Block Group 4, Census Tract 404.02",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,23,0,180,135,21,0
"Block Group 5, Census Tract 404.02",1313,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,87,13,35,119,24,608,236,94,70
"Block Group 1, Census Tract 406",402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,37,37,0,207,63,20,8
"Block Group 2, Census Tract 406",831,0,0,0,0,0,0,0,25,23,0,0,0,0,0,8,63,0,0,39,9,357,210,44,53
"Block Group 3, Census Tract 406",811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,16,29,41,20,327,267,18,45
"Block Group 1, Census Tract 407",567,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,45,0,24,26,34,199,190,8,16
"Block Group 2, Census Tract 407",794,0,0,0,0,0,26,0,0,0,0,0,0,0,0,17,60,0,26,30,8,418,133,40,36
